G_Name,Year,Amount,
New Israel Foundation,2019,13555.00,
"Grassroots International, Inc.",2017,25000.00,
Global Greengrants Fund Inc,2019,4000.00,
Lord Mayor's Charitable Foundation,2018,6605.00,
The National Lottery Community Fund,2019,3143.00,
Urgent Action Fund - Africa,2017,4800.00,
William Randolph Hearst Foundation,2020,75000.00,
Global Greengrants Fund Inc,2016,5000.00,
International Women's Health Coalition,2018,26500.00,
International Women's Health Coalition,2017,25000.00,
NoVo Foundation,2018,225000.00,
Global Greengrants Fund Inc,2019,3000.00,
Ford Foundation,2020,300000.00,
Global Greengrants Fund Inc,2016,4000.00,
Global Greengrants Fund Inc,2018,6000.00,
Global Greengrants Fund Inc,2018,3500.00,
Global Greengrants Fund Inc,2019,2600.00,
Global Greengrants Fund Inc,2018,2500.00,
Global Greengrants Fund Inc,2019,10000.00,
Global Greengrants Fund Inc,2017,5000.00,
FRIDA - The Young Feminist Fund,2019,9000.00,
FRIDA - The Young Feminist Fund,2018,8000.00,
FRIDA - The Young Feminist Fund,2017,5000.00,
Global Greengrants Fund Inc,2018,3000.00,
Global Greengrants Fund Inc,2019,40000.00,
Global Greengrants Fund Inc,2018,70000.00,
Global Greengrants Fund Inc,2018,3500.00,
Global Greengrants Fund Inc,2016,3500.00,
The David and Lucile Packard Foundation,2020,354160.00,
The David and Lucile Packard Foundation,2018,90825.00,
Global Greengrants Fund Inc,2019,20000.00,
Global Greengrants Fund Inc,2018,20000.00,
Global Greengrants Fund Inc,2017,20000.00,
Global Greengrants Fund Inc,2017,20000.00,
Equity Trustees Charitable Foundation,2020,255198.00,
Anonymous Funder 13,2019,300000.00,
Environmental Defense Fund Incorporated,2017,20000.00,
Environmental Defense Fund Incorporated,2017,20000.00,
Environmental Defense Fund Incorporated,2017,20000.00,
Environmental Defense Fund Incorporated,2017,20000.00,
The Myer Foundation,2016,97687.00,
"The New-Land Foundation, Inc.",2016,10000.00,
"Northlight Foundation, Inc.",2020,110000.00,
Merck Family Fund,2020,20000.00,
The New York Community Trust,2018,100000.00,
The New York Community Trust,2017,150000.00,
San Francisco Foundation,2017,50000.00,
The New York Community Trust,2015,75000.00,
Energy Foundation China,2017,50000.00,
Rochester Area Community Foundation,2019,75000.00,
Rochester Area Community Foundation,2018,65250.00,
Tides Foundation,2018,25000.00,
Rochester Area Community Foundation,2017,65500.00,
Rochester Area Community Foundation,2015,25170.00,
Sacramento Region Community Foundation,2018,27000.00,
Environmental Defense Fund Incorporated,2018,20000.00,
Santa Fe Community Foundation,2019,15500.00,
Environmental Defense Fund Incorporated,2018,10000.00,
Tides Foundation,2020,50000.00,
Tides Foundation,2020,50000.00,
The Grove Foundation,2019,40000.00,
"The New-Land Foundation, Inc.",2018,15000.00,
"The New-Land Foundation, Inc.",2017,15000.00,
"The New-Land Foundation, Inc.",2016,10000.00,
"Compton Foundation, Inc.",2016,50000.00,
"The Lynde and Harry Bradley Foundation, Inc.",2017,100000.00,
"The Lynde and Harry Bradley Foundation, Inc.",2017,100000.00,
"The Lynde and Harry Bradley Foundation, Inc.",2015,239500.00,
Citi Foundation,2020,250000.00,
Foundation to Promote Open Society,2016,150000.00,
Wallace Global Fund II,2018,25000.00,
Newman's Own Foundation,2018,50000.00,
Newman's Own Foundation,2017,50000.00,
Property Casualty InsurersAssociation of America,2017,27500.00,
State Engagement Fund,2018,75000.00,
Mertz Gilmore Foundation,2018,50000.00,
The Donley Foundation,2018,100000.00,
Global Greengrants Fund Inc,2018,4760.00,
Global Greengrants Fund Inc,2016,5000.00,
Global Greengrants Fund Inc,2016,3000.00,
Global Greengrants Fund Inc,2018,1500.00,
Global Greengrants Fund Inc,2018,5000.00,
Community Foundation of Western Massachusetts,2018,500.00,
"Proteus Fund, Inc.",2017,4500.00,
Linden Trust For Conservation,2017,5000.00,
Alex C. Walker Educational and Charitable Foundation,2015,30000.00,
The Nathan Cummings Foundation,2018,63000.00,
"NEO Philanthropy, Inc.",2016,10000.00,
"Surdna Foundation, Inc.",2018,200000.00,
