R_Name,Year,Amount,
Freedom Farm,2019,13555.00,
La Via Campesina-International,2017,25000.00,
Abwatuntora Climate Change Committee,2019,4000.00,
Abbotsford Convent,2018,6605.00,
Garioch Women for Change,2019,3143.00,
Femmes Cote d Ivoire Experience,2017,4800.00,
Appalachian Sustainable Development,2020,75000.00,
Ecological Defenders Network,2016,5000.00,
Education as a Vaccine,2018,26500.00,
Education as a Vaccine,2017,25000.00,
Give Girls A Chance,2018,225000.00,
Persons with Disabilities Action Network,2019,3000.00,
Shehu Musa Yar'Adua Foundation,2020,300000.00,
SPEAK Nigeria,2016,4000.00,
Women Environmental Programme,2018,6000.00,
Africa Centre for Applied Economics and Policy Research,2018,3500.00,
Ghana Society of the Physically Disabled,2019,2600.00,
Ghana Youth Environmental Movement,2018,2500.00,
Ghana-Reducing our Carbon,2019,10000.00,
Strategic Youth Network for Development,2017,5000.00,
Fkm Bka,2019,9000.00,
Fkm Bka,2018,8000.00,
Fkm Bka,2017,5000.00,
Ada Songor Advocacy Fund,2018,3000.00,
Alliance for Food Sovereignty in Africa,2019,40000.00,
Alliance for Food Sovereignty in Africa,2018,70000.00,
Emerald Group,2018,3500.00,
Institute for Sustainable Development,2016,3500.00,
Oromia Development Association,2020,354160.00,
Oromia Development Association,2018,90825.00,
Pesticide Action Nexus,2019,20000.00,
Pesticide Action Nexus,2018,20000.00,
Pesticide Action Nexus,2017,20000.00,
Pesticide Action Nexus,2017,20000.00,
Climate Action Network Australia Ltd,2020,255198.00,
Watershed Organisation Trust,2019,300000.00,
Roanoke Economic Development Inc,2017,20000.00,
Roanoke Economic Development Inc,2017,20000.00,
Roanoke Economic Development Inc,2017,20000.00,
Roanoke Economic Development Inc,2017,20000.00,
Anonymous Recipient,2016,97687.00,
San Luis Valley Ecosystem Council,2016,10000.00,
"Environmental Advocates NY, Inc.",2020,110000.00,
"Environmental Advocates NY, Inc.",2020,20000.00,
"Environmental Advocates NY, Inc.",2018,100000.00,
"Environmental Advocates NY, Inc.",2017,150000.00,
"Environmental Advocates NY, Inc.",2017,50000.00,
"Environmental Advocates NY, Inc.",2015,75000.00,
NY Renews,2017,50000.00,
"Public Policy and Education Fund of New York, Inc.",2019,75000.00,
"Public Policy and Education Fund of New York, Inc.",2018,65250.00,
"Public Policy and Education Fund of New York, Inc.",2018,25000.00,
"Public Policy and Education Fund of New York, Inc.",2017,65500.00,
"Public Policy and Education Fund of New York, Inc.",2015,25170.00,
Nature Conservancy,2018,27000.00,
Center for Civic Policy,2018,20000.00,
Environment New Mexico Research & Policy Center,2019,15500.00,
Native American Voters Alliance,2018,10000.00,
Native American Voters Alliance Education Project,2020,50000.00,
Native American Voters Alliance Education Project,2020,50000.00,
Native American Voters Alliance Education Project,2019,40000.00,
Southwest Research and Information Center,2018,15000.00,
Southwest Research and Information Center,2017,15000.00,
Southwest Research and Information Center,2016,10000.00,
University of New Mexico Foundation,2016,50000.00,
Greenhouse Solutions,2017,100000.00,
Greenhouse Solutions,2017,100000.00,
Greenhouse Solutions,2015,239500.00,
Charities Aid Foundation of America,2020,250000.00,
National Association of State Boards of Education,2016,150000.00,
Ndci Global,2018,25000.00,
Running Strong for American Indian Youth,2018,50000.00,
Running Strong for American Indian Youth,2017,50000.00,
"The Congressional Institute, Inc.",2017,27500.00,
Virginia New Majority Education Fund,2018,75000.00,
Virginia New Majority Education Fund,2018,50000.00,
Allentown Public Library,2018,100000.00,
Socio-Ecological Fund Public fund,2018,4760.00,
Goodenough Island Cocoa Growers Co-operative Society Limited,2016,5000.00,
Seeds Project Social Ecological Fund,2016,3000.00,
Akany Avoko Ambohidratrimo,2018,1500.00,
Barisan Pemuda Adat Nusantara- Wilayah Maluku,2018,5000.00,
Climate Action Now,2018,500.00,
Climate Action Now,2017,4500.00,
Karuna Center for Peacebuilding,2017,5000.00,
Karuna Center for Peacebuilding,2015,30000.00,
"PERI Support Fund, Inc.",2018,63000.00,
Proteus Fund,2016,10000.00,
Just Community Energy Transition Fellowship,2018,200000.00,
Temple University,2018,23690.00,
Both ENDS,2019,562000.00,
Both ENDS,2017,200000.00,
Both ENDS,2017,40000.00,
Both ENDS,2015,300000.00,
Both ENDS,2015,50000.00,
Climate Liberation Bloc,2019,16772.00,
Greenpeace International,2018,400000.00,
Smart Freight Centre,2020,400000.00,
Smart Freight Centre,2018,400000.00,
Smart Freight Centre,2016,400000.00,
Smart Freight Centre,2015,250000.00,
"Urgenda Foundation New Energy Docks, Distelweg 4511031 Hd",2018,60000.00,
Lawyers‚' Association for Human Rights of Nepalese Indigenous Peoples,2017,6450.00,
Alaska Community Action on Toxins,2017,30000.00,
Alaska Community Action on Toxins,2017,30000.00,
Alaska Conservation Foundation,2019,50000.00,
Alaska Conservation Foundation,2016,600000.00,
Alaska Conservation Foundation,2015,375000.00,
Alaska Conservation Foundation,2015,375000.00,
Alaska Institute for Justice,2020,129720.00,
Alaska Institute for Justice dba Alaska Immigration Justice Project,2019,42000.00,
Alaska Institute for Justice dba Alaska Immigration Justice Project,2018,57160.00,
Alaska Institute for Justice dba Alaska Immigration Justice Project,2018,33000.00,
Alaska Institute for Justice dba Alaska Immigration Justice Project,2017,55000.00,
Alaska Native Tribal Health Consortium Inc,2018,300000.00,
Anchorage Museum Association,2019,50000.00,
Arctic Youth Ambassadors,2016,5000.00,
KNBA,2018,325000.00,
Native Movement,2020,83333.00,
Native Movement,2019,83333.00,
Native Movement,2018,83333.00,
Nature Conservancy,2018,6000.00,
Renewable Energy,2018,140563.00,
Renewable Energy,2015,100000.00,
"The Crane Institute of Sustainability, Inc.",2020,10000.00,
"The Crane Institute of Sustainability, Inc.",2016,15000.00,
